deployment,endpoint,requests,container,role,samples,cpu_avg_pct,cpu_max_pct,mem_max_mib,pids_max
x3,static,1,software-architecture-traefik-1,traefik,83,0.04,0.58,22.9,12
x3,static,10,minikube,other,85,0.23,0.83,69.9,50
x3,static,10,opensearch,opensearch,85,2.68,7.51,1154.0,140
x3,static,10,software-architecture-app-1,app,85,0.02,0.48,50.9,11
x3,static,10,software-architecture-app-2,app,85,0.01,0.42,48.5,11
x3,static,10,software-architecture-app-3,app,85,0.0,0.06,46.7,11
x3,static,10,software-architecture-db-1,db,85,0.43,2.39,22.6,8
x3,static,10,software-architecture-redis-1,redis,85,1.13,1.56,10.0,6
x3,static,10,software-architecture-static-assets-1,static,85,0.0,0.0,7.5,9
x3,static,10,software-architecture-traefik-1,traefik,85,0.05,2.05,23.8,12
x3,static,100,minikube,other,83,0.26,3.42,70.2,50
x3,static,100,opensearch,opensearch,83,2.13,9.6,1152.0,135
x3,static,100,software-architecture-app-1,app,83,0.01,0.57,50.9,11
x3,static,100,software-architecture-app-2,app,83,0.01,0.34,48.5,11
x3,static,100,software-architecture-app-3,app,83,0.01,0.31,52.8,11
x3,static,100,software-architecture-db-1,db,83,0.38,3.05,22.5,7
x3,static,100,software-architecture-redis-1,redis,83,1.12,1.87,10.0,6
x3,static,100,software-architecture-static-assets-1,static,83,0.03,0.16,7.9,9
x3,static,100,software-architecture-traefik-1,traefik,83,0.41,2.33,31.1,13
x3,static,1000,minikube,other,85,0.2,0.39,69.7,50
x3,static,1000,opensearch,opensearch,85,2.31,9.99,1157.1,136
x3,static,1000,software-architecture-app-1,app,85,0.0,0.09,50.9,11
x3,static,1000,software-architecture-app-2,app,85,0.01,0.12,52.4,11
x3,static,1000,software-architecture-app-3,app,85,0.0,0.12,52.8,11
x3,static,1000,software-architecture-db-1,db,85,0.47,3.15,22.5,7
x3,static,1000,software-architecture-redis-1,redis,85,1.07,2.35,9.7,6
x3,static,1000,software-architecture-static-assets-1,static,85,0.29,0.45,7.8,9
x3,static,1000,software-architecture-traefik-1,traefik,85,1.7,7.34,41.7,13
x3,static,5000,minikube,other,85,0.28,3.2,69.7,50
x3,static,5000,opensearch,opensearch,85,2.39,26.67,1157.1,136
